State,Keyword,Match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Keyword bid(USD),Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACoS(%)
ENABLED,dinosaur lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.40,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,fallout lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.40,0.48,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,small bag cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mens zipper lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.42,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thermal bento,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.47,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,wonderwoman lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,planetbox lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.37,0.51,0.81,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,adult lunch totes,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.75,0.94,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,tote for men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,launch boxes,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.50,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,meal cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler with compartments,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.37,0.56,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,picnic time lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.42,0.56,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchbox kate spade,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.41,0.45,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated cooler bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.42,0.57,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch freezer bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.51,0.64,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,green lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.45,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,food prep bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.66,0.94,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ice cooler lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.55,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,aluminum lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bag foldable,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.50,0.62,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,e lunch box bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,,,,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,small lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.41,0.56,0.78,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch pail,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.56,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch cooler hard shell,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch container for men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.69,0.78,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags black,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.90,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler thermos,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.31,0.46,0.54,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,monogrammed lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.41,0.69,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box for school,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
