State,Keyword,Match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Keyword bid(USD),Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACoS(%)
ENABLED,insulated small lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.94,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bento lunch box kit,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.58,0.84,1.20,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated zipper lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,carry cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,1.20,1.30,1.30,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,salad kit lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.65,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cold pack for coolers,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.92,0.92,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kate spade lunch tote,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.23,0.33,0.46,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bag lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mesh lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.55,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,black bento lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.59,1.25,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,meals bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,3.00,3.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kate spade lunch bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.25,0.32,0.40,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunchboxes,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mens lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.37,0.55,0.78,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box school,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.80,0.90,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,large insulated lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.59,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,male lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.47,0.53,0.53,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,boys lunch tote,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.50,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,tote bag lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.69,0.94,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch tote black,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box cooler large,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box insulated bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.69,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag brown,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.62,0.69,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch cooler insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,waterproof lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.65,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,luch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated bag small,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.75,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box insulated men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.50,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thermal bag lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated large tote bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.54,0.54,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids small lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.60,0.80,1.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cool gear lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.66,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mans lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.69,0.75,1.12,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,skiphop lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.40,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,9 can cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.50,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,tupperware lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.37,0.45,0.63,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes for adult,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.75,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler lunchbox,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.46,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,gym food,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.37,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchbox kids insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.56,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bentgo lunch box set,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.33,0.45,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bottle cooler ice pack,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags large insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.69,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,chewbacca lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,prep bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.75,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,small insulated cooler bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.35,0.54,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,boon bento lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.58,0.70,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch bag tote,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.76,0.90,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,packit lunch bag freezable,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.37,0.52,0.62,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes meal prep,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,husky lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.48,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,baby lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.50,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,sable lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.56,0.75,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,small waterproof cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.55,0.57,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bag women,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.53,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mier adult lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.39,0.56,0.63,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated thermal bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.69,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kate spade thermos,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.44,0.45,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,compact insulated lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.65,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,baby food cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.60,0.62,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ice for lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.69,0.75,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch kit,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch backpack cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.88,1.21,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag office,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,fit fresh lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.90,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated large cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.53,0.69,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag zipper top,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.55,0.88,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler compartment,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.39,0.75,1.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ultra arctic zone,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.25,0.56,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,guy lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bag tote,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.64,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,ll bean lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.25,0.25,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,kids small lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.51,0.75,1.15,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.94,0.20,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes for men,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.53,0.69,0.50,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags for woman,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.84,0.84,0.84,0.10,0,0,,0.00,0.00,0,0.00,
ENABLED,mens lunch bags insulated,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.35,0.50,0.60,0.50,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.80,1.00,1.00,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.90,0.20,0,0,,0.00,0.00,0,0.00,
ENABLED,best lunch cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.68,0.68,0.20,0,0,,0.00,0.00,0,0.00,
ENABLED,a lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.56,0.75,1.00,0.30,0,0,,0.00,0.00,0,0.00,
ENABLED,big lunch bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.47,0.57,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch boxes kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.60,0.75,0.88,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bpx,EXACT,TARGETING_CLAUSE_STATUS_LIVE,,,,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,loncheras para mujer,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.27,0.37,0.51,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bag big,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,2.00,2.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,keep cool insulated bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler tote lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.78,0.81,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,large insulated tote bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.50,0.66,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,work lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.66,0.90,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch for men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.90,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated bag tote,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.87,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,fallout lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,superman lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.27,0.40,0.51,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,coolers bags,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.35,0.63,1.05,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,pwr xtreme,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.60,0.68,0.68,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag meal prep,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.65,1.27,2.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box for girls,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.53,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,avengers tin lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.45,0.63,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,adult lunch box cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,1.01,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch container and bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.65,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,school lunch bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,reusable zip bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.80,1.04,1.25,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.57,0.76,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags for ladies,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,tote lunch bags,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.66,0.75,1.13,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lifewit insulated lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.40,0.57,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cars 3 lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,oxo lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.59,1.25,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box carrier,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.53,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box insulated containers,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.50,0.68,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bento lunch box insulated,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.58,0.77,1.25,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mazforce,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.45,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,meal prep with bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.68,1.10,1.72,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cold bags for lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.65,0.65,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,girls lunch kit,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.51,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,office lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.55,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,rubbermaid blox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.50,0.58,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,container bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.89,1.10,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,heavy duty cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,coleman lunchbox adult,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.41,0.41,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.52,0.71,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lifewit,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.56,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated lunch kids,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.69,0.69,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,easy lunch boxes containers,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.48,0.54,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,herschel lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.28,0.40,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,shoulder lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.46,0.59,0.65,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,stay cold lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bags large,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,2.70,2.70,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,luncbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,,,,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bags gym,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,steel lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.46,0.46,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,foldable cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.55,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,rtic lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.44,0.55,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box drink container,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.54,0.65,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,baby lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.59,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,meal prep backpack,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.38,0.56,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,bentgo kids lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.67,1.07,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,baby food lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.80,0.88,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,zip lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.62,0.88,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooker bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.80,0.91,1.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchbox adult,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.68,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,wildkin lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.50,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunc,EXACT,TARGETING_CLAUSE_STATUS_LIVE,,,,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,craftsman lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.79,0.80,0.81,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,large meal prep bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.50,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag for baby,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.68,0.68,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,food prep lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.55,0.69,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,tactical lunch bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.46,0.60,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,insulated large lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,2.52,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunchboxes for teen girls,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.41,0.50,0.59,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thermal insulated lunch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.59,0.75,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lumch bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.37,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,picnic bag large,EXACT,TARGETING_CLAUSE_STATUS_LIVE,2.00,2.00,2.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch containers for women,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.68,0.79,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch cooler ice packs,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.56,0.68,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag foldable,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.29,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bag zipper,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.55,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,packit lunchbox,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.57,0.69,1.05,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,fit lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.50,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler bag lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.45,0.59,0.84,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,thermal cooler bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.84,1.00,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,cooler for lunch,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch bag ice,EXACT,TARGETING_CLAUSE_STATUS_LIVE,1.20,1.20,1.20,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,backpack cooler insert,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,1.21,1.21,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mier bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.44,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,food carrying bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.65,1.05,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,portable lunch cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.68,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,school work storage box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.55,0.75,0.80,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,jansport lunchbag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.34,0.56,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,toddler box spring,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.20,0.34,0.34,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,igloo maxcold lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.25,0.28,0.50,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.62,0.75,1.60,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,despicable me lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.16,0.34,0.40,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box warm,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.50,0.58,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,mens lunch box cooler,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.65,0.75,0.75,0.75,0,0,,0.00,0.00,0,0.00,
ENABLED,lunch box for baby,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.65,0.80,1.25,0.75,0,0,,0.00,0.00,0,0.00,
